x010080  SSL_CK_RC4_128_WITH_MD5              
x31  TLS_DH_RSA_WITH_AES_128_CBC_SHA         
x32  TLS_DHE_DSS_WITH_AES_128_CBC_SHA        
x33  TLS_DHE_RSA_WITH_AES_128_CBC_SHA        
x34  TLS_DH_anon_WITH_AES_128_CBC_SHA        
x35  TLS_RSA_WITH_AES_256_CBC_SHA            
x36  TLS_DH_DSS_WITH_AES_256_CBC_SHA         
x37  TLS_DH_RSA_WITH_AES_256_CBC_SHA         
x38  TLS_DHE_DSS_WITH_AES_256_CBC_SHA        
x39  TLS_DHE_RSA_WITH_AES_256_CBC_SHA        
x3A  TLS_DH_anon_WITH_AES_256_CBC_SHA        
x3B  TLS_RSA_WITH_NULL_SHA256                
x3C  TLS_RSA_WITH_AES_128_CBC_SHA256         
x3D  TLS_RSA_WITH_AES_256_CBC_SHA256         
x3E  TLS_DH_DSS_WITH_AES_128_CBC_SHA256      
x3F  TLS_DH_RSA_WITH_AES_128_CBC_SHA256      
x40  TLS_DHE_DSS_WITH_AES_128_CBC_SHA256     
x41  TLS_RSA_WITH_CAMELLIA_128_CBC_SHA       
x42  TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA    
x43  TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA    
x44  TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA   
x45  TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA   
x46  TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA   
x60  TLS_RSA_EXPORT1024_WITH_RC4_56_MD5
x61  TLS_RSA_EXPORT1024_WITH_RC2_56_MD5
x62  TLS_RSA_EXPORT1024_WITH_DES_CBC_SHA
x63  TLS_DHE_DSS_EXPORT1024_WITH_DES_CBC_SHA
x64  TLS_RSA_EXPORT1024_WITH_RC4_56_SHA
x65  TLS_DHE_DSS_EXPORT1024_WITH_RC4_56_SHA
x66  TLS_DHE_DSS_WITH_RC4_128_SHA
x67  TLS_DHE_RSA_WITH_AES_128_CBC_SHA256     
x68  TLS_DH_DSS_WITH_AES_256_CBC_SHA256      
x69  TLS_DH_RSA_WITH_AES_256_CBC_SHA256      
x6A  TLS_DHE_DSS_WITH_AES_256_CBC_SHA256     
x6B  TLS_DHE_RSA_WITH_AES_256_CBC_SHA256     
x6C  TLS_DH_anon_WITH_AES_128_CBC_SHA256     
x6D  TLS_DH_anon_WITH_AES_256_CBC_SHA256     
x80  TLS_GOSTR341094_WITH_28147_CNT_IMIT 
x81  TLS_GOSTR341001_WITH_28147_CNT_IMIT
x82  TLS_GOSTR341094_WITH_NULL_GOSTR3411
x83  TLS_GOSTR341001_WITH_NULL_GOSTR3411
x84  TLS_RSA_WITH_CAMELLIA_256_CBC_SHA       
x85  TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA    
x86  TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA    
x87  TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA   
x88  TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA   
x89  TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA   
x8A  TLS_PSK_WITH_RC4_128_SHA                
x8B  TLS_PSK_WITH_3DES_EDE_CBC_SHA           
x8C  TLS_PSK_WITH_AES_128_CBC_SHA            
x8D  TLS_PSK_WITH_AES_256_CBC_SHA            
x8E  TLS_DHE_PSK_WITH_RC4_128_SHA            
x8F  TLS_DHE_PSK_WITH_3DES_EDE_CBC_SHA       
x90  TLS_DHE_PSK_WITH_AES_128_CBC_SHA        
x91  TLS_DHE_PSK_WITH_AES_256_CBC_SHA        
x92  TLS_RSA_PSK_WITH_RC4_128_SHA            
x93  TLS_RSA_PSK_WITH_3DES_EDE_CBC_SHA       
x94  TLS_RSA_PSK_WITH_AES_128_CBC_SHA        
x95  TLS_RSA_PSK_WITH_AES_256_CBC_SHA        
x96  TLS_RSA_WITH_SEED_CBC_SHA               
x97  TLS_DH_DSS_WITH_SEED_CBC_SHA            
x98  TLS_DH_RSA_WITH_SEED_CBC_SHA            
x99  TLS_DHE_DSS_WITH_SEED_CBC_SHA           
x9A  TLS_DHE_RSA_WITH_SEED_CBC_SHA           
x9B  TLS_DH_anon_WITH_SEED_CBC_SHA           
x9C  TLS_RSA_WITH_AES_128_GCM_SHA256         
x9D  TLS_RSA_WITH_AES_256_GCM_SHA384         
x9E  TLS_DHE_RSA_WITH_AES_128_GCM_SHA256     
x9F  TLS_DHE_RSA_WITH_AES_256_GCM_SHA384     
xA0  TLS_DH_RSA_WITH_AES_128_GCM_SHA256      
xA1  TLS_DH_RSA_WITH_AES_256_GCM_SHA384      
xA2  TLS_DHE_DSS_WITH_AES_128_GCM_SHA256     
xA3  TLS_DHE_DSS_WITH_AES_256_GCM_SHA384     
xA4  TLS_DH_DSS_WITH_AES_128_GCM_SHA256      
xA5  TLS_DH_DSS_WITH_AES_256_GCM_SHA384      
xA6  TLS_DH_anon_WITH_AES_128_GCM_SHA256     
xA7  TLS_DH_anon_WITH_AES_256_GCM_SHA384     
xA8  TLS_PSK_WITH_AES_128_GCM_SHA256         
xA9  TLS_PSK_WITH_AES_256_GCM_SHA384         
xAA  TLS_DHE_PSK_WITH_AES_128_GCM_SHA256     
xAB  TLS_DHE_PSK_WITH_AES_256_GCM_SHA384     
xAC  TLS_RSA_PSK_WITH_AES_128_GCM_SHA256     
xAD  TLS_RSA_PSK_WITH_AES_256_GCM_SHA384     
xAE  TLS_PSK_WITH_AES_128_CBC_SHA256         
xAF  TLS_PSK_WITH_AES_256_CBC_SHA384         
xB0  TLS_PSK_WITH_NULL_SHA256                
xB1  TLS_PSK_WITH_NULL_SHA384                
xB2  TLS_DHE_PSK_WITH_AES_128_CBC_SHA256     
xB3  TLS_DHE_PSK_WITH_AES_256_CBC_SHA384     
xB4  TLS_DHE_PSK_WITH_NULL_SHA256            
xB5  TLS_DHE_PSK_WITH_NULL_SHA384            
xB6  TLS_RSA_PSK_WITH_AES_128_CBC_SHA256     
xB7  TLS_RSA_PSK_WITH_AES_256_CBC_SHA384     
xB8  TLS_RSA_PSK_WITH_NULL_SHA256            
xB9  TLS_RSA_PSK_WITH_NULL_SHA384            
xBA  TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256    
xBB  TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA256 
xBC  TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA256 
xBD  TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA256
xBE  TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256
xBF  TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA256
xC0  TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256    
xC1  TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256 
xC2  TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256 
xC3  TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256
xC4  TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256
xC5  TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA256
xFF  TLS_EMPTY_RENEGOTIATION_INFO_SCSV       
x5600  TLS_FALLBACK_SCSV
xC001  TLS_ECDH_ECDSA_WITH_NULL_SHA            
xC002  TLS_ECDH_ECDSA_WITH_RC4_128_SHA         
xC003  TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA    
xC004  TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA     
xC005  TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA     
xC006  TLS_ECDHE_ECDSA_WITH_NULL_SHA           
xC007  TLS_ECDHE_ECDSA_WITH_RC4_128_SHA        
xC008  TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA   
xC009  TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA    
xC00A  TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA    
xC00B  TLS_ECDH_RSA_WITH_NULL_SHA              
xC00C  TLS_ECDH_RSA_WITH_RC4_128_SHA           
xC00D  TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA      
xC00E  TLS_ECDH_RSA_WITH_AES_128_CBC_SHA       
xC00F  TLS_ECDH_RSA_WITH_AES_256_CBC_SHA       
xC010  TLS_ECDHE_RSA_WITH_NULL_SHA             
xC011  TLS_ECDHE_RSA_WITH_RC4_128_SHA          
xC012  TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA     
xC013  TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA      
xC014  TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA      
xC015  TLS_ECDH_anon_WITH_NULL_SHA             
xC016  TLS_ECDH_anon_WITH_RC4_128_SHA          
xC017  TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA     
xC018  TLS_ECDH_anon_WITH_AES_128_CBC_SHA      
xC019  TLS_ECDH_anon_WITH_AES_256_CBC_SHA      
xC01A  TLS_SRP_SHA_WITH_3DES_EDE_CBC_SHA       
xC01B  TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA   
xC01C  TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA   
xC01D  TLS_SRP_SHA_WITH_AES_128_CBC_SHA        
xC01E  TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA    
xC01F  TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA    
xC020  TLS_SRP_SHA_WITH_AES_256_CBC_SHA        
xC021  TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA    
xC022  TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA    
xC023  TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256 
xC024  TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384 
xC025  TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256  
xC026  TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384  
xC027  TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256   
xC028  TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384   
xC029  TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256    
xC02A  TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384    
xC02B  TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256 
xC02C  TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384 
xC02D  TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256  
xC02E  TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384  
xC02F  TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256   
xC030  TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384   
xC031  TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256    
xC032  TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384    
xC033  TLS_ECDHE_PSK_WITH_RC4_128_SHA          
xC034  TLS_ECDHE_PSK_WITH_3DES_EDE_CBC_SHA     
xC035  TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA      
xC036  TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA      
xC037  TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA256   
xC038  TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA384   
xC039  TLS_ECDHE_PSK_WITH_NULL_SHA             
xC03A  TLS_ECDHE_PSK_WITH_NULL_SHA256          
xC03B  TLS_ECDHE_PSK_WITH_NULL_SHA384          
xC03C  TLS_RSA_WITH_ARIA_128_CBC_SHA256
xC03D  TLS_RSA_WITH_ARIA_256_CBC_SHA384
xC03E  TLS_DH_DSS_WITH_ARIA_128_CBC_SHA256
xC03F  TLS_DH_DSS_WITH_ARIA_256_CBC_SHA384
xC040  TLS_DH_RSA_WITH_ARIA_128_CBC_SHA256
xC041  TLS_DH_RSA_WITH_ARIA_256_CBC_SHA384
xC042  TLS_DHE_DSS_WITH_ARIA_128_CBC_SHA256
xC043  TLS_DHE_DSS_WITH_ARIA_256_CBC_SHA384
xC044  TLS_DHE_RSA_WITH_ARIA_128_CBC_SHA256
xC045  TLS_DHE_RSA_WITH_ARIA_256_CBC_SHA384
xC046  TLS_DH_anon_WITH_ARIA_128_CBC_SHA256
xC047  TLS_DH_anon_WITH_ARIA_256_CBC_SHA384
xC048  TLS_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256
xC049  TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384
xC04A  TLS_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256
xC04B  TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384
xC04C  TLS_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256
xC04D  TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384
xC04E  TLS_ECDH_RSA_WITH_ARIA_128_CBC_SHA256
xC04F  TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384
xC050  TLS_RSA_WITH_ARIA_128_GCM_SHA256
xC051  TLS_RSA_WITH_ARIA_256_GCM_SHA384
xC052  TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256
xC053  TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384
xC054  TLS_DH_RSA_WITH_ARIA_128_GCM_SHA256
xC055  TLS_DH_RSA_WITH_ARIA_256_GCM_SHA384
xC056  TLS_DHE_DSS_WITH_ARIA_128_GCM_SHA256
xC057  TLS_DHE_DSS_WITH_ARIA_256_GCM_SHA384
xC058  TLS_DH_DSS_WITH_ARIA_128_GCM_SHA256
xC059  TLS_DH_DSS_WITH_ARIA_256_GCM_SHA384
xC05A  TLS_DH_anon_WITH_ARIA_128_GCM_SHA256
xC05B  TLS_DH_anon_WITH_ARIA_256_GCM_SHA384
xC05C  TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256
xC05D  TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384
xC05E  TLS_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256
xC05F  TLS_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384
xC060  TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256
xC061  TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384
xC062  TLS_ECDH_RSA_WITH_ARIA_128_GCM_SHA256
xC063  TLS_ECDH_RSA_WITH_ARIA_256_GCM_SHA384
xC064  TLS_PSK_WITH_ARIA_128_CBC_SHA256
xC065  TLS_PSK_WITH_ARIA_256_CBC_SHA384
xC066  TLS_DHE_PSK_WITH_ARIA_128_CBC_SHA256
xC067  TLS_DHE_PSK_WITH_ARIA_256_CBC_SHA384
xC068  TLS_RSA_PSK_WITH_ARIA_128_CBC_SHA256
xC069  TLS_RSA_PSK_WITH_ARIA_256_CBC_SHA384
xC06A  TLS_PSK_WITH_ARIA_128_GCM_SHA256
xC06B  TLS_PSK_WITH_ARIA_256_GCM_SHA384
xC06C  TLS_DHE_PSK_WITH_ARIA_128_GCM_SHA256
xC06D  TLS_DHE_PSK_WITH_ARIA_256_GCM_SHA384
xC06E  TLS_RSA_PSK_WITH_ARIA_128_GCM_SHA256
xC06F  TLS_RSA_PSK_WITH_ARIA_256_GCM_SHA384
xC070  TLS_ECDHE_PSK_WITH_ARIA_128_CBC_SHA256
xC071  TLS_ECDHE_PSK_WITH_ARIA_256_CBC_SHA384
xC072  TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256
xC073  TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384
xC074  TLS_ECDH_ECDSA_WITH_CAMELLIA_128_CBC_SHA256
xC075  TLS_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384
xC076  TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256
xC077  TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384
xC078  TLS_ECDH_RSA_WITH_CAMELLIA_128_CBC_SHA256
xC079  TLS_ECDH_RSA_WITH_CAMELLIA_256_CBC_SHA384
xC07A  TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256
xC07B  TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384
xC07C  TLS_DHE_RSA_WITH_CAMELLIA_128_GCM_SHA256
xC07D  TLS_DHE_RSA_WITH_CAMELLIA_256_GCM_SHA384
xC07E  TLS_DH_RSA_WITH_CAMELLIA_128_GCM_SHA256
xC07F  TLS_DH_RSA_WITH_CAMELLIA_256_GCM_SHA384
xC080  TLS_DHE_DSS_WITH_CAMELLIA_128_GCM_SHA256
xC081  TLS_DHE_DSS_WITH_CAMELLIA_256_GCM_SHA384
xC082  TLS_DH_DSS_WITH_CAMELLIA_128_GCM_SHA256
xC083  TLS_DH_DSS_WITH_CAMELLIA_256_GCM_SHA384
xC084  TLS_DH_anon_WITH_CAMELLIA_128_GCM_SHA256
xC085  TLS_DH_anon_WITH_CAMELLIA_256_GCM_SHA384
xC086  TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_GCM_SHA256
xC087  TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_GCM_SHA384
xC088  TLS_ECDH_ECDSA_WITH_CAMELLIA_128_GCM_SHA256
xC089  TLS_ECDH_ECDSA_WITH_CAMELLIA_256_GCM_SHA384
xC08A  TLS_ECDHE_RSA_WITH_CAMELLIA_128_GCM_SHA256
xC08B  TLS_ECDHE_RSA_WITH_CAMELLIA_256_GCM_SHA384
xC08C  TLS_ECDH_RSA_WITH_CAMELLIA_128_GCM_SHA256
xC08D  TLS_ECDH_RSA_WITH_CAMELLIA_256_GCM_SHA384
xC08E  TLS_PSK_WITH_CAMELLIA_128_GCM_SHA256
xC08F  TLS_PSK_WITH_CAMELLIA_256_GCM_SHA384
xC090  TLS_DHE_PSK_WITH_CAMELLIA_128_GCM_SHA256
xC091  TLS_DHE_PSK_WITH_CAMELLIA_256_GCM_SHA384
xC092  TLS_RSA_PSK_WITH_CAMELLIA_128_GCM_SHA256
xC093  TLS_RSA_PSK_WITH_CAMELLIA_256_GCM_SHA384
xC094  TLS_PSK_WITH_CAMELLIA_128_CBC_SHA256
xC095  TLS_PSK_WITH_CAMELLIA_256_CBC_SHA384
xC096  TLS_DHE_PSK_WITH_CAMELLIA_128_CBC_SHA256
xC097  TLS_DHE_PSK_WITH_CAMELLIA_256_CBC_SHA384
xC098  TLS_RSA_PSK_WITH_CAMELLIA_128_CBC_SHA256
xC099  TLS_RSA_PSK_WITH_CAMELLIA_256_CBC_SHA384
xC09A  TLS_ECDHE_PSK_WITH_CAMELLIA_128_CBC_SHA256
xC09B  TLS_ECDHE_PSK_WITH_CAMELLIA_256_CBC_SHA384
xC09C  TLS_RSA_WITH_AES_128_CCM
xC09D  TLS_RSA_WITH_AES_256_CCM
xC09E  TLS_DHE_RSA_WITH_AES_128_CCM
xC09F  TLS_DHE_RSA_WITH_AES_256_CCM
xC0A0  TLS_RSA_WITH_AES_128_CCM_8
xC0A1  TLS_RSA_WITH_AES_256_CCM_8
xC0A2  TLS_DHE_RSA_WITH_AES_128_CCM_8
xC0A3  TLS_DHE_RSA_WITH_AES_256_CCM_8
xC0A4  TLS_PSK_WITH_AES_128_CCM
xC0A5  TLS_PSK_WITH_AES_256_CCM
xC0A6  TLS_DHE_PSK_WITH_AES_128_CCM
xC0A7  TLS_DHE_PSK_WITH_AES_256_CCM
xC0A8  TLS_PSK_WITH_AES_128_CCM_8
xC0A9  TLS_PSK_WITH_AES_256_CCM_8
xC0AA  TLS_PSK_DHE_WITH_AES_128_CCM_8
xC0AB  TLS_PSK_DHE_WITH_AES_256_CCM_8
xC09C  TLS_RSA_WITH_AES_128_CCM
xC09D  TLS_RSA_WITH_AES_256_CCM
xC09E  TLS_DHE_RSA_WITH_AES_128_CCM
xC09F  TLS_DHE_RSA_WITH_AES_256_CCM
xC0A0  TLS_RSA_WITH_AES_128_CCM_8
xC0A1  TLS_RSA_WITH_AES_256_CCM_8
xC0A2  TLS_DHE_RSA_WITH_AES_128_CCM_8
xC0A3  TLS_DHE_RSA_WITH_AES_256_CCM_8
xC0A4  TLS_PSK_WITH_AES_128_CCM
xC0A5  TLS_PSK_WITH_AES_256_CCM
xC0A6  TLS_DHE_PSK_WITH_AES_128_CCM
xC0A7  TLS_DHE_PSK_WITH_AES_256_CCM
xC0A8  TLS_PSK_WITH_AES_128_CCM_8
xC0A9  TLS_PSK_WITH_AES_256_CCM_8
xC0AA  TLS_PSK_DHE_WITH_AES_128_CCM_8
xC0AB  TLS_PSK_DHE_WITH_AES_256_CCM_80
xC0AC  TLS_ECDHE_ECDSA_WITH_AES_128_CCM
xC0AD  TLS_ECDHE_ECDSA_WITH_AES_256_CCM 
xC0AE  TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8
xC0AF  TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8
xCC13  TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
xCC14  TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256
xCC15  TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256
xFEFE  SSL_RSA_FIPS_WITH_DES_CBC_SHA
xFEFE  SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA
xFFE0  SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA
xFFE1  SSL_RSA_FIPS_WITH_DES_CBC_SHA
